id;start_date;end_date;language
1;2023-04-20T18:46:03;2023-04-20T16:36:18;ENGLISH
2;2023-04-20T04:13:38;2023-04-20T13:39:07;FRENCH
3;2023-04-20T14:09:50;2023-04-20T02:14:58;SPANISH
4;2023-04-20T18:40:39;2023-04-20T00:06:58;FRENCH
5;2023-04-20T20:57:02;2023-04-20T05:16:00;ENGLISH
6;2023-04-20T06:27:45;2023-04-20T20:28:05;SPANISH
7;2023-04-20T14:31:33;2023-04-20T01:05:42;FRENCH
8;2023-04-20T04:57:26;2023-04-20T01:33:15;FRENCH
9;2023-04-20T05:49:04;2023-04-20T17:20:30;FRENCH
10;2023-04-20T01:46:02;2023-04-20T18:43:31;FRENCH
